CATALANO;;;;;;HARMONY;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
CIUDAD REAL;DIRECCIÓN;TELÉFONO;MÓVIL;CORREO;;CIUDAD REAL;DIRECCIÓN;TELÉFONO;MÓVIL;CORREO
Alcázar de San Juan;Avda de la Pradera, s/n, 13600;926 54 42 87;677 12 43 17;alcazar@catalano.es  alcazarkids@catalano.es;;Alcázar de San Juan;Avda de la Pradera, s/n, 13600;;699799419;hola@harmonycatalano.es
Alcázar Kids;;;;;;;;;;
Argamasilla de Alba;Plaza de España, 8, 13710;926 53 71 92;674 91 40 05;argamasilla@catalano.es;;;;;;
Campo de Criptana;Calle Castillo, 15, 13610;926 56 25 07;669 68 71 19;criptana@catalano.es;;;;;;
Ciudad Real;Calle Alarcos, 14. Local 1, 13001;926 60 00 01;618 27 00 19;ciudadreal@catalano.es  ciudadrealkids@catalano.es;;;;;;
Daimiel;Calle Juan Romero, 14, 13250;926 85 59 76;681 04 89 45;daimiel@catalano.es;;;;;;
Herencia;Calle Huertos, 28, 13640;926 57 15 93;650 76 55 06;herencia@catalano.es;;;;;;
La Solana;Calle Encomienda, 26, 13240;926 63 52 68;671 72 04 56;lasolana@catalano.es;;;;;;
Manzanares;Calle Vid, 1, 13200;926 442 066;660 89 66 91;manzanares@catalano.es;;;;;;
Membrilla;Avda Constitución, 48, Local, 13230;926 63 75 93;649 24 13 84;membrilla@catalano.es;;;;;;
Pedro Muñoz;Calle General Prim, 3, Local 2, 13620;926 56 95 11;674 95 65 66;pedromu@catalano.es;;;;;;
Puertollano;Paseo de San Gregorio, 11, 13500;926 355 299;679 201 856;puertollano@catalano.es;;;;;;
Socuéllamos;Paseo de la Concordia, 2, Local 1, 13630;926 60 58 00;650 05 79 43;"socuellamos@catalano.es
";;;;;;
Tomelloso;Calle Don Víctor Peñasco, 41, Bajo, 13700;926 50 23 86;646 58 82 80;tomelloso@catalano.es;;;;;;
Valdepeñas orto;Calle del Seis de Junio, 82, 13300;926 31 27 23;649 21 79 60;valdepenias@catalano.es;;;;;;
Valdepeñas II;C/Juan Alcaide, 41 esq. c/ Seis de Junio, 54. 13300 ;926 31 27 23;608 509 132;valdepenias2@catalano.es;;;;;;
Villarubia de los Ojos;Plaza de la Constitución, 11, 13670;926 60 55 00;649 59 09 01;villarrubia@catalano.es  villarrubiakids@catalano.es;;;;;;
;;;;;;;;;;
;;;;;;;;;;
TOLEDO;DIRECCIÓN;TELÉFONO;MÓVIL;CORREO;;;;;;
Consuegra;Calle del Carmen, 11, 45700;925 48 07 73;683 61 25 55;consuegra@catalano.es;;;;;;
Illescas;Calle Puerta del Sol, 17, 45200;925 363 006;682709135;illescas@catalano.es;;;;;;
Los Yébenes;Calle Cortijo, 30, 45470;925 32 11 07;627 10 90 28;yebenes@catalano.es;;;;;;
Madridejos;Calle Real, 8, 45710;925 46 01 70;671 72 04 45;madridejos@catalano.es;;;;;;
